Inf;Player;Pens Faced;Pens Saved Ratio;Sv %;MLG;Tck/90;Tck R;Shts Blckd/90;Pres C/90;Pres A/90;Poss Won/90;K Tck/90;Int/90;Clr/90;Blk/90;Conv %;Shot %;ShT/90;xSv %;xGP/90;Sprints/90;Drb/90;Dist/90;Pr passes/90;Poss Lost/90;Ps C/90;Ps A/90;Pas %;OP-KP/90;CCC;Ch C/90;Asts/90;Saves/90;Tgls/90;Tcon/90;Minutes;Mins/Gm;NP-xG/90;Goals per 90 minutes;xG/90;Con/90;xA/90;Cln/90;Appearances;Mins/Gl;OP-Crs C/90;OP-Crs A/90;OP-Cr %;Cr C/90;Crs A/90;Cr C/A;K Hdrs/90;Hdr %;Hdrs W/90;Hdrs;Hdrs L/90;Aer A/90;Hdrs A;Based In;Division;Nation;Club;Position;Age;Potential;Wage
;Tang Wei;0;0;0;0;0.0;0;0.0;0.3;0.7;1.3;0.0;0.2;0.0;0.0;16%;51%;1.4;0;0.0;3.1;0.9;9.9;0.8;4.5;21.5;24.4;88%;0.8;6;0.3;0.1;0;1.6;1.2;1604;84.4210526315789;0.5;0.4;0.5;0.0;0.1;0.0;19;200.5;0.2;0.2;100;0.2;0.2;100;0.0;31;1.9;34;4.3;6.2;111;Denmark;3F Superliga;CHN;FC Midtjylland;ST (C);23;Unknown;€11.5K p/w
Rst;Yaël Mouanga;0;0;0;0;1.0;96;0.3;1.0;2.7;11.5;0.0;3.5;0.8;0.4;0%;38%;0.6;0;0.0;23.0;0.3;12.1;8.7;5.6;43.7;49.2;89%;0.9;3;0.1;0.0;0;3.0;0.8;2129;85.16;0.1;0.0;0.1;0.0;0.1;0.0;24 (1);0;0.0;0.1;0;0.0;0.1;0;0.3;61;4.1;97;2.7;6.8;160;Denmark;3F Superliga;FRA;Sønderjyske;D (C), DM;28;Unknown;€31.5K p/w
;Robin Østrøm;0;0;0;1;0.3;86;0.6;0.6;2.2;13.9;0.0;3.9;1.1;0.7;50%;50%;0.1;0;0.0;3.6;0.1;9.9;2.9;5.5;33.4;38.1;88%;0.1;2;0.1;0.1;0;0.7;1.3;1626;85.5789473684211;0.0;0.1;0.0;0.0;0.0;0.0;18 (1);1626;0.0;0.1;0;0.0;0.1;0;2.1;77;6.2;112;1.9;8.1;146;Denmark;3F Superliga;UGA;Randers FC;D (RLC);31;Unknown;€6K p/w
;Chefe;0;0;0;0;1.1;86;0.2;2.4;8.1;6.0;0.1;2.3;0.7;0.5;13%;43%;0.6;0;0.0;18.2;6.1;12.9;4.6;16.1;47.6;52.3;91%;1.9;15;0.8;0.4;0;1.0;2.1;1618;77.0476190476191;0.1;0.2;0.1;0.0;0.3;0.0;19 (2);539.333333333333;1.9;6.5;30;2.0;6.7;30;0.0;30;0.9;17;2.2;3.1;56;Denmark;3F Superliga;MOZ;FC Fredericia;AM (R);25;Unknown;€6.25K p/w
;Benjamin Drakovac;0;0;0;0;0.0;0;0.2;0.8;1.8;3.4;0.0;1.4;0.2;0.3;22%;50%;1.4;0;0.0;6.6;0.3;11.9;0.6;6.7;21.5;24.9;86%;1.1;0;0.0;0.0;0;1.0;0.8;561;33;0.3;0.6;0.3;0.0;0.1;0.0;2 (15);140.25;0.5;2.2;21;0.5;2.2;21;0.5;44;5.8;36;7.4;13.2;82;Denmark;3F Superliga;BIH;Lyngby;ST (C);25;Unknown;€5.5K p/w
;Joshua Bastien;0;0;0;0;3.7;85;0.2;3.6;13.0;11.2;0.1;3.9;1.4;0.3;10%;48%;1.1;0;0.0;33.0;3.9;14.3;6.0;19.3;32.6;41.5;79%;3.7;24;1.4;0.6;0;2.9;0.7;1577;78.85;0.2;0.2;0.2;0.0;0.6;0.0;20 (2);394.25;2.6;10.0;26;3.8;15.8;23;0.0;63;2.1;36;1.2;3.3;57;Denmark;3F Superliga;NED;Sønderjyske;D/WB (L);24;Unknown;€59K p/w
;Tobias Bech;0;0;0;0;0.6;62;0.1;0.9;4.1;4.4;0.0;2.0;0.1;0.1;19%;46%;1.1;0;0.0;9.8;3.4;11.6;3.5;12.7;45.0;49.7;91%;2.4;19;0.8;0.4;0;1.8;1.5;2029;72.4642857142857;0.3;0.4;0.3;0.0;0.3;0.0;25 (3);202.9;0.7;2.2;31;1.0;4.3;23;0.1;44;2.1;47;2.7;4.8;108;Denmark;3F Superliga;DEN;AGF;M (R), AM (RLC), ST (C);31;Unknown;€8.5K p/w
;Tobías Campos;0;0;0;0;4.0;94;0.0;3.6;10.7;12.3;0.0;3.1;0.7;0.1;19%;44%;0.8;0;0.0;32.0;4.9;14.6;6.4;20.1;32.8;41.8;79%;4.9;21;2.5;0.8;0;4.0;0.7;751;39.5263157894737;0.2;0.4;0.2;0.0;0.9;0.0;6 (13);250.333333333333;2.8;9.5;29;5.8;21.3;26;0.1;76;1.9;16;0.6;2.5;21;Denmark;3F Superliga;ARG;Sønderjyske;D/WB (L);25;Unknown;€14.5K p/w
;Yutaka Michiwaki;0;0;0;0;0.5;38;0.0;1.0;3.8;2.6;0.0;2.0;0.7;0.0;32%;72%;3.0;0;0.0;14.8;1.5;13.1;2.3;6.6;16.9;19.3;87%;2.3;8;1.3;0.2;0;4.1;0.5;549;32.2941176470588;0.8;1.3;1.0;0.0;0.3;0.0;3 (14);68.625;0.8;1.1;71;0.8;1.1;71;0.0;42;3.6;22;4.9;8.5;52;Denmark;3F Superliga;JPN;Sønderjyske;AM (R), ST (C);27;Unknown;€21K p/w
Rst;Uffe Wæver;0;0;0;1;1.3;84;0.4;1.9;8.4;7.8;0.0;2.8;0.5;0.4;6%;36%;1.3;0;0.0;29.0;0.7;13.2;4.8;7.7;36.7;43.4;84%;1.9;10;0.5;0.1;0;2.9;0.8;1871;81.3478260869565;0.5;0.2;0.5;0.0;0.2;0.0;23;374.2;0.2;0.3;67;0.2;0.3;66;0.2;71;2.4;50;1.0;3.4;70;Denmark;3F Superliga;DEN;Sønderjyske;WB (L), M/AM (C);19;Unknown;€10.25K p/w
;Rio Cardines;0;0;0;0;2.0;67;0.2;3.0;12.1;9.9;0.3;3.6;1.6;0.6;0%;43%;0.4;0;0.0;25.3;1.5;13.6;4.9;14.1;35.3;42.0;84%;1.1;4;0.3;0.1;0;0.6;1.7;1329;88.6;0.0;0.0;0.0;0.0;0.1;0.0;15;0;0.7;5.2;14;0.8;5.8;13;0.2;41;1.8;26;2.5;4.3;63;Denmark;3F Superliga;TRI;Lyngby;D/WB (RL), M/AM (R);27;Unknown;€4.6K p/w
;Tomáš Hoftych;0;0;0;1;2.0;76;0.4;2.5;9.6;11.0;0.1;3.7;1.3;0.9;0%;38%;0.3;0;0.0;19.1;1.8;13.5;8.4;11.4;52.1;60.1;87%;1.3;2;0.1;0.1;0;1.6;1.3;1429;89.3125;0.0;0.0;0.0;0.0;0.1;0.0;16;0;0.5;3.3;15;0.5;3.4;14;0.1;29;1.2;19;3.0;4.2;66;Denmark;3F Superliga;CZE;Brøndby IF;D/WB (R), DM;22;Unknown;€7.5K p/w
;Christopher Olivier;0;0;0;0;0.0;0;0.0;1.1;3.6;13.8;0.2;4.7;2.0;0.4;0%;33%;0.2;0;0.0;21.2;0.2;13.4;9.4;11.6;57.4;66.3;87%;1.1;1;0.2;0.0;0;1.8;1.1;403;28.7857142857143;0.0;0.0;0.0;0.0;0.1;0.0;2 (12);0;0.4;2.2;20;0.4;2.7;16;2.7;64;3.6;16;2.0;5.6;25;Denmark;3F Superliga;AUT;FC København;D/WB (R), DM, M/AM (R);27;Unknown;€22K p/w
;Andrew Macauley;0;0;0;0;0.8;88;0.9;0.7;3.4;10.6;0.2;3.3;1.5;1.0;0%;22%;0.1;0;0.0;4.4;0.1;10.4;3.6;7.7;30.7;37.5;82%;0.4;0;0.0;0.0;0;0.7;1.7;1709;85.45;0.0;0.0;0.0;0.0;0.0;0.0;3 (21);0;0.0;0.1;0;0.0;0.1;0;0.5;62;3.4;64;2.1;5.4;103;Denmark;3F Superliga;JAM;Lyngby;D (RC), DM;23;Unknown;€2.6K p/w
;Rasmus Engmark;0;0;0;0;0.2;50;0.4;0.6;2.6;9.9;0.0;2.4;0.9;0.4;8%;23%;0.6;0;0.0;13.8;0.2;11.5;6.6;6.8;37.7;44.1;85%;1.5;2;0.4;0.2;0;4.0;0.6;490;49;0.3;0.2;0.3;0.0;0.2;0.0;5 (5);490;0.0;0.2;0;0.0;0.2;0;0.0;59;4.8;26;3.3;8.1;44;Denmark;3F Superliga;DEN;Sønderjyske;D (C), DM, M (C);20;Unknown;€5.25K p/w
;Mateo Del Blanco;0;0;0;0;1.9;83;0.0;3.1;12.6;6.2;0.1;1.5;0.4;0.3;8%;17%;0.2;0;0.0;20.6;7.1;13.6;5.7;18.8;58.1;63.5;91%;1.6;10;1.0;0.2;0;1.8;1.0;877;54.8125;0.1;0.1;0.1;0.0;0.3;0.0;11 (5);877;1.8;8.2;23;2.8;13.1;21;0.0;13;0.4;4;2.8;3.2;31;Denmark;3F Superliga;ARG;FC Midtjylland;WB/M/AM (L);30;Unknown;€15.75K p/w
;Kid;0;0;0;2;1.4;50;0.1;2.7;9.1;12.4;0.0;2.9;1.0;0.2;12%;47%;1.3;0;0.0;29.7;3.7;13.7;9.8;16.9;36.3;45.7;79%;4.3;20;1.6;0.4;0;2.7;1.1;1120;80;0.3;0.3;0.3;0.0;0.6;0.0;14;280;2.3;7.3;32;2.3;7.3;31;0.7;76;3.4;42;1.0;4.4;55;Denmark;3F Superliga;BRA;Sønderjyske;D/WB (R);24;Unknown;€17.5K p/w
;Francis Gomez;0;0;0;0;2.0;64;0.4;2.2;8.6;10.1;0.3;3.1;2.3;0.7;0%;31%;0.4;0;0.0;15.2;0.2;12.6;5.0;7.3;43.0;48.9;88%;0.7;2;0.2;0.0;0;0.5;2.3;1011;53.2105263157895;0.1;0.0;0.1;0.0;0.0;0.0;13 (6);0;0.1;0.2;50;0.1;0.2;50;0.4;31;1.0;11;2.2;3.2;36;Denmark;3F Superliga;GAM;Lyngby;DM, M (C);27;Unknown;€3.6K p/w
;Riccardo Ilunga;0;0;0;1;0.4;70;0.1;1.9;7.7;5.4;0.0;2.7;0.3;0.1;17%;37%;0.7;0;0.0;14.0;1.5;13.1;4.7;10.2;54.9;62.0;89%;2.1;9;0.6;0.4;0;1.7;1.3;1439;68.5238095238095;0.3;0.3;0.3;0.0;0.2;0.0;15 (6);287.8;0.6;1.1;50;0.7;1.6;44;0.0;49;1.7;27;1.8;3.4;55;Denmark;3F Superliga;BEL;FC Midtjylland;M (C), AM (RLC);24;Unknown;€15.25K p/w
Wnt;Brynjar Jacobsen;0;0;0;0;0.8;60;0.0;1.0;5.9;3.8;0.0;1.0;0.3;0.0;33%;56%;1.3;0;0.0;12.7;1.5;12.6;2.0;6.9;31.1;35.2;88%;1.0;1;0.3;0.0;0;1.3;0.8;353;29.4166666666667;0.3;0.8;0.3;0.0;0.1;0.0;1 (11);117.666666666667;0.3;1.3;20;0.3;1.3;20;0.0;5;0.3;1;4.8;5.1;20;Denmark;3F Superliga;FRO;Brøndby IF;M/AM (L), ST (C);23;Unknown;€4.3K p/w
;Danilo Veiga;0;0;0;0;2.9;64;0.1;3.4;9.5;11.7;0.1;3.4;0.7;0.6;0%;35%;0.4;0;0.0;20.3;0.9;13.0;9.7;9.5;53.8;59.1;91%;1.4;5;0.2;0.0;0;2.1;1.6;1830;76.25;0.1;0.0;0.1;0.0;0.1;0.0;24;0;0.6;2.8;21;0.9;4.9;18;0.2;64;2.6;53;1.5;4.1;83;Denmark;3F Superliga;POR;FC København;D/WB/M (R);31;Unknown;€44.5K p/w
;Koji Sano;0;0;0;0;1.0;100;0.4;0.4;1.8;13.1;0.1;3.2;1.1;0.6;8%;23%;0.4;0;0.0;17.7;0.7;11.8;9.4;7.3;42.6;49.3;86%;1.6;3;0.2;0.1;0;3.7;0.5;1270;74.7058823529412;0.1;0.1;0.1;0.0;0.1;0.0;15 (2);635;0.1;0.3;50;0.1;0.3;50;0.0;67;5.1;72;2.5;7.6;107;Denmark;3F Superliga;JPN;Sønderjyske;D (LC), WB (L);21;Unknown;€14K p/w
;Malte Heyde;0;0;0;1;0.9;58;0.2;1.6;4.7;7.2;0.1;1.4;0.5;0.5;10%;48%;1.0;0;0.0;12.0;1.2;10.6;5.7;9.1;48.5;54.0;90%;1.7;13;0.5;0.3;0;1.7;1.4;2193;81.2222222222222;0.2;0.2;0.3;0.0;0.3;0.0;26 (1);438.6;0.2;0.7;22;0.6;3.9;14;0.0;50;0.8;19;0.8;1.6;38;Denmark;3F Superliga;DEN;AGF;DM, M (C);26;Unknown;€12.75K p/w
;Mattia Piermarini;0;0;0;0;0.3;55;0.8;0.6;2.2;14.2;0.0;4.2;1.4;0.9;0%;33%;0.1;0;0.0;4.2;0.0;10.2;3.4;6.5;37.3;43.5;86%;0.1;1;0.1;0.0;0;1.5;1.1;1800;90;0.0;0.0;0.0;0.0;0.0;0.0;3 (14);0;0.0;0.0;0;0.0;0.0;0;1.6;63;5.7;113;3.4;9.0;180;Denmark;3F Superliga;ITA;Brøndby IF;D (C);27;Unknown;€11.25K p/w
;Joël Salvi;0;0;0;0;1.5;82;0.3;2.3;7.1;8.2;0.0;2.8;0.3;0.4;16%;48%;1.3;0;0.0;29.7;1.2;13.6;5.6;7.3;40.5;47.0;86%;1.4;7;0.8;0.2;0;4.0;0.9;826;34.4166666666667;0.4;0.4;0.4;0.0;0.3;0.0;6 (18);206.5;0.4;1.1;40;0.4;1.1;40;0.0;44;1.7;16;2.2;3.9;36;Denmark;3F Superliga;FRA;Sønderjyske;DM, M/AM (C);22;Unknown;€23K p/w
;Bismark Edjeodji;0;0;0;0;0.4;70;0.1;0.7;3.2;4.5;0.0;1.2;0.3;0.1;2%;30%;0.8;0;0.0;6.2;1.4;11.5;3.7;10.4;46.1;52.2;88%;2.8;18;0.9;0.4;0;1.4;1.0;1768;84.1904761904762;0.1;0.1;0.1;0.0;0.4;0.0;6 (13);1768;0.8;2.1;38;1.0;5.0;20;0.1;51;2.1;42;2.1;4.2;83;Denmark;3F Superliga;GHA;Brøndby IF;M (C), AM (RLC);26;Unknown;€7.25K p/w
Wnt;Luka Marić;3;33;80;1;0.1;33;0.0;0.0;0.0;10.2;0.0;0.6;9.0;0.0;0%;0%;0.0;88;0.1;0.0;0.0;4.3;1.2;12.2;15.2;21.1;72%;0.0;0;0.0;0.0;5;0.7;1.4;1710;90;0.0;0.0;0.0;1.4;0.0;0.3;25 (3);0;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;Denmark;3F Superliga;AUT;Randers FC;GK;31;Unknown;€5.75K p/w
;Luka Kharatishvili;0;0;75;1;0.0;0;0.0;0.0;0.0;10.5;0.0;0.5;0.6;0.0;0%;0%;0.0;88;-0.2;0.1;0.0;7.1;0.2;1.3;27.4;28.5;96%;0.0;0;0.0;0.0;4;1.5;1.6;1620;90;0.0;0.0;0.0;1.6;0.0;0.2;20 (2);0;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;Denmark;3F Superliga;GEO;FC Nordsjælland;GK;30;Unknown;€13.75K p/w
Inj;Nicolas Madsen;0;0;0;0;0.3;80;0.3;1.1;4.0;6.1;0.0;1.8;0.6;0.3;9%;41%;1.0;0;0.0;20.7;0.1;12.6;13.0;12.3;95.5;104.6;91%;1.0;4;0.3;0.1;0;1.8;0.9;1267;84.4666666666667;0.1;0.2;0.2;0.0;0.2;0.0;15;422.333333333333;0.1;0.6;25;1.0;5.0;19;0.3;59;1.9;27;1.3;3.3;46;Denmark;3F Superliga;DEN;FC Midtjylland;DM, M/AM (C);33;Unknown;€13.25K p/w
Inj;Dion Kjartanson;0;0;0;0;1.1;100;0.0;2.7;8.8;3.8;0.0;1.1;0.5;0.0;0%;100%;0.5;0;0.0;13.7;2.7;13.8;5.5;15.9;47.7;55.4;86%;2.7;1;0.5;0.5;0;4.9;1.1;164;20.5;0.1;0.0;0.1;0.0;0.2;0.0;0 (8);0;1.6;3.8;43;1.6;3.8;42;0.0;29;1.1;2;2.7;3.8;7;Denmark;3F Superliga;DEN;FC København;D/WB (R), M (C), AM (R);22;Unknown;€7.25K p/w
;Beckham Baker;0;0;0;0;0.9;69;0.0;1.6;5.9;4.4;0.0;1.7;0.6;0.1;18%;55%;1.0;0;0.0;10.0;4.0;11.6;4.1;13.3;50.2;55.1;91%;2.2;13;0.6;0.2;0;1.7;1.3;1901;79.2083333333333;0.2;0.3;0.2;0.0;0.3;0.0;23 (1);271.571428571429;0.9;3.0;28;1.0;4.4;23;0.0;17;0.5;11;2.5;3.0;64;Denmark;3F Superliga;TLS;AGF;AM (RL), ST (C);25;Unknown;€8.25K p/w
;Omran Khatar;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0%;0%;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0%;0.0;0;0.0;0.0;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;Denmark;3F Superliga;DEN;Sønderjyske;AM (LC), ST (C);24;Unknown;€5.5K p/w
;Pedro Bravo;0;0;0;0;1.6;82;0.3;2.1;7.9;8.3;0.0;2.3;0.6;0.5;4%;48%;0.8;0;0.0;17.4;0.3;12.6;8.9;7.5;74.3;81.0;92%;1.3;7;0.5;0.1;0;1.7;1.2;1305;72.5;0.1;0.1;0.1;0.0;0.2;0.0;15 (3);1305;0.1;0.2;33;0.1;0.2;33;0.1;54;1.9;28;1.7;3.6;52;Denmark;3F Superliga;DEN;FC Midtjylland;DM, M (C);29;Unknown;€15.25K p/w
;Eloi Collette;0;0;0;0;3.0;80;0.2;3.1;10.7;12.9;0.0;3.4;2.0;0.2;14%;31%;0.7;0;0.0;33.4;3.7;14.1;7.6;18.8;35.1;44.0;80%;4.5;21;1.6;0.4;0;3.7;0.3;1171;58.55;0.2;0.3;0.2;0.0;0.6;0.0;13 (7);292.75;3.8;12.3;31;3.8;12.3;30;0.1;74;2.5;32;0.8;3.3;43;Denmark;3F Superliga;BEL;Sønderjyske;D (RC), WB (R);20;Unknown;€16K p/w
;Cody Braman;0;0;0;0;0.2;42;0.1;1.0;5.2;2.9;0.0;1.3;0.4;0.1;20%;50%;1.4;0;0.0;10.4;2.3;12.1;1.0;9.1;20.4;24.1;85%;1.7;8;0.4;0.3;0;2.0;1.6;1863;88.7142857142857;0.4;0.6;0.4;0.0;0.2;0.0;5 (10);155.25;0.3;1.6;18;0.3;1.6;17;0.0;33;4.6;95;9.2;13.8;285;Denmark;3F Superliga;USA;Vejle;ST (C);22;Unknown;€4.4K p/w
Wnt;Olly Percival;0;0;0;0;1.5;75;0.0;4.1;9.2;18.4;0.0;3.6;2.0;0.0;0%;50%;0.5;0;0.0;14.3;1.5;14.5;18.9;14.3;70.6;78.2;90%;0.5;0;0.0;0.0;0;2.6;1.5;176;19.5555555555556;0.0;0.0;0.0;0.0;0.0;0.0;1 (8);0;0.0;2.6;0;0.0;3.1;0;0.0;43;3.1;6;4.1;7.2;14;Denmark;3F Superliga;ENG;FC København;D (RC), WB (R);23;Unknown;€10.5K p/w
;David Zikl;0;0;100;0;0.0;0;0.0;0.0;0.0;8.7;0.0;0.3;0.3;0.0;0%;0%;0.0;96;0.2;0.0;0.0;6.7;1.0;1.3;17.7;18.7;95%;0.0;0;0.0;0.0;2;5.3;0.0;270;90;0.0;0.0;0.0;0.0;0.0;1.0;3;0;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;Denmark;3F Superliga;CZE;Sønderjyske;GK;22;Unknown;€14.25K p/w
;Boubou Fofana;0;0;0;0;1.0;80;0.6;1.1;3.5;10.2;0.1;3.8;1.4;0.7;0%;40%;0.2;0;0.0;7.9;0.9;11.5;5.5;5.1;44.6;48.3;92%;1.0;3;0.2;0.1;0;1.6;0.9;1451;69.0952380952381;0.0;0.0;0.0;0.0;0.1;0.0;15 (6);0;0.3;1.1;28;0.3;1.6;19;0.2;30;1.4;22;3.2;4.6;74;Denmark;3F Superliga;FRA;Brøndby IF;D (RLC);21;Unknown;€19.25K p/w
;Luis Palacios;0;0;0;0;1.5;83;0.3;1.5;8.0;4.2;0.0;1.2;0.0;0.3;0%;25%;0.3;0;0.0;21.4;1.8;14.2;5.3;15.1;43.4;49.0;88%;1.5;1;0.3;0.0;0;0.6;2.1;303;16.8333333333333;0.1;0.0;0.1;0.0;0.3;0.0;0 (18);0;0.6;5.6;11;1.5;9.8;15;0.0;46;1.8;6;2.1;3.9;13;Denmark;3F Superliga;COL;Randers FC;D/WB/M/AM (R);32;Unknown;€2.6K p/w
;Jonas Bank;0;0;0;1;0.4;50;0.4;0.6;2.9;11.0;0.1;4.0;1.1;0.4;0%;27%;0.3;0;0.0;7.2;0.1;11.1;5.2;5.0;54.0;58.3;93%;0.8;2;0.1;0.0;0;2.1;1.3;1274;53.0833333333333;0.1;0.0;0.1;0.0;0.0;0.0;13 (11);0;0.0;0.1;0;0.0;0.2;0;0.8;69;3.8;54;1.7;5.5;78;Denmark;3F Superliga;DEN;FC København;D (RC), DM, M (C);21;Unknown;€8K p/w
;Oskar Øhlenschlæger;0;0;0;1;0.9;74;0.2;1.7;8.0;6.1;0.2;2.2;0.4;0.3;12%;46%;1.3;0;0.0;16.8;0.9;13.1;4.8;8.7;46.5;52.9;88%;2.0;10;0.5;0.1;0;1.5;1.1;1710;90;0.3;0.3;0.3;0.0;0.2;0.0;15 (6);285;0.3;1.2;22;0.4;1.7;21;0.2;36;1.3;24;2.3;3.5;67;Denmark;3F Superliga;DEN;Brøndby IF;M (C), AM (RC), ST (C);29;Unknown;€13K p/w
;Pavle Kljajić;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0%;0%;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100%;0.0;0;0.0;0.0;0;0.0;0.0;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0 (1);0;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;Denmark;3F Superliga;DEN;Sønderjyske;AM (RLC);20;Unknown;€4K p/w
;Ahmed Mouhoub;0;0;0;0;1.2;71;0.4;1.3;6.2;8.6;0.0;3.0;1.0;0.5;0%;57%;0.5;0;0.0;14.8;0.2;13.0;8.3;7.6;68.0;74.9;91%;1.3;0;0.0;0.0;0;1.9;1.3;744;37.2;0.1;0.0;0.1;0.0;0.0;0.0;5 (15);0;0.1;0.2;50;0.1;0.2;50;0.1;60;1.5;12;1.0;2.4;20;Denmark;3F Superliga;MAR;FC København;DM, M (C);25;Unknown;€11K p/w
;Léandre Kuavita;0;0;0;2;1.8;69;0.3;1.9;6.9;8.2;0.1;1.6;0.6;0.5;3%;53%;1.0;0;0.0;10.9;0.2;9.3;5.8;7.9;47.7;51.8;92%;1.1;5;0.3;0.2;0;1.9;1.4;1386;53.3076923076923;0.1;0.1;0.1;0.0;0.2;0.0;14 (12);1386;0.1;0.2;33;0.3;1.2;21;0.0;50;0.6;10;0.6;1.3;20;Denmark;3F Superliga;BEL;AGF;DM, M (C);29;Unknown;€8.75K p/w
;Modibo Fofana;0;0;0;1;1.7;63;0.7;2.9;9.3;11.1;0.0;3.1;0.8;0.9;0%;29%;0.2;0;0.0;14.3;0.9;11.3;5.5;6.0;39.1;43.8;89%;1.7;4;0.2;0.1;0;2.1;1.6;1552;81.6842105263158;0.0;0.0;0.0;0.0;0.1;0.0;19;0;0.0;0.1;0;0.0;0.1;0;0.1;29;0.9;15;2.1;3.0;52;Denmark;3F Superliga;CIV;Vejle;M (C);26;Unknown;€3.4K p/w
;Rune Jepsen;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0%;0%;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;92%;0.0;0;0.0;0.0;0;0.0;0.0;3;3;0.0;0.0;0.0;0.0;0.0;0.0;0 (1);0;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;Denmark;3F Superliga;DEN;FC Midtjylland;DM, M (C);18;Unknown;€3.2K p/w
Wnt;Alexander Eckmayr;0;0;70;0;0.0;0;0.0;0.0;0.0;11.2;0.0;0.8;0.0;0.0;0%;0%;0.0;91;-0.7;1.5;0.0;4.6;0.0;0.8;27.8;28.5;97%;0.0;0;0.0;0.0;5;1.5;2.2;120;120;0.0;0.0;0.0;2.2;0.0;0.0;2 (12);0;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;Denmark;3F Superliga;AUT;FC Fredericia;GK;34;Unknown;€2.1K p/w
;Emerson Candé;0;0;0;0;1.4;62;0.2;3.1;11.1;11.9;0.0;3.2;1.2;0.3;0%;54%;0.7;0;0.0;18.2;3.2;13.0;6.2;13.0;32.8;40.1;82%;2.1;4;0.4;0.1;0;2.2;1.8;860;40.9523809523809;0.1;0.0;0.1;0.0;0.1;0.0;2 (19);0;1.0;4.5;23;1.0;4.5;23;0.4;59;3.3;32;2.3;5.7;54;Denmark;3F Superliga;GNB;Vejle;M/AM (R);21;Unknown;€2.8K p/w
;Lasso Coulibaly;0;0;0;0;1.8;78;0.2;2.5;12.4;7.6;0.0;3.2;0.5;0.4;4%;48%;1.5;0;0.0;20.9;11.4;13.0;5.5;17.4;47.6;52.5;91%;2.2;7;0.9;0.2;0;1.5;0.9;720;60;0.3;0.1;0.3;0.0;0.3;0.0;11 (1);720;1.8;10.0;18;1.8;10.0;17;0.1;54;2.6;21;2.2;4.9;39;Denmark;3F Superliga;CIV;FC Midtjylland;M (RC), AM (RLC);31;Unknown;€15K p/w
;William Clem;0;0;0;0;1.8;62;0.6;2.8;9.3;10.2;0.0;3.2;1.2;0.9;0%;46%;0.5;0;0.0;12.4;0.0;12.9;8.4;6.5;52.6;58.6;90%;1.1;4;0.2;0.0;0;2.2;1.6;2022;84.25;0.0;0.0;0.0;0.0;0.1;0.0;24;0;0.0;0.0;0;0.0;0.0;0;0.3;55;1.8;41;1.5;3.3;74;Denmark;3F Superliga;DEN;FC København;DM, M (C);29;Unknown;€21K p/w
Inj;Paulos Abraham;0;0;0;1;1.9;92;0.1;1.8;7.3;3.9;0.1;1.7;1.0;0.2;20%;60%;0.8;0;0.0;14.6;2.4;12.1;4.2;14.4;44.0;50.0;88%;1.9;8;0.7;0.3;0;1.4;2.2;1066;62.7058823529412;0.1;0.3;0.2;0.0;0.2;0.0;14 (3);355.333333333333;0.5;2.0;25;0.9;3.3;28;0.0;22;0.7;8;2.4;3.1;37;Denmark;3F Superliga;SWE;FC Fredericia;AM (RLC), ST (C);31;Unknown;€9.25K p/w
;Frank Martínez;0;0;0;0;1.4;74;0.1;1.8;8.3;8.8;0.1;2.0;0.4;0.1;0%;38%;0.4;0;0.0;10.7;0.3;11.2;6.2;6.8;56.5;61.5;92%;1.1;5;0.3;0.1;0;1.9;1.3;1670;61.8518518518519;0.1;0.0;0.1;0.0;0.1;0.0;19 (8);0;0.2;0.4;50;0.2;0.6;33;0.1;31;0.4;8;1.0;1.4;26;Denmark;3F Superliga;COL;AGF;DM, M (C);26;Unknown;€4K p/w
