Inf;Player;Best Pos;Asking Price;Tck A;Off;KP/90;Shot/90;Unique ID;Pens Faced;Pens Saved Ratio;Sv %;MLG;Tck/90;Tck R;Shts Blckd/90;Pres C/90;Pres A/90;Poss Won/90;K Tck/90;Int/90;Clr/90;Blk/90;Conv %;Shot %;ShT/90;xSv %;xGP/90;Sprints/90;Drb/90;Dist/90;Pr passes/90;Poss Lost/90;Ps C/90;Ps A/90;Pas %;OP-KP/90;CCC;Ch C/90;Asts/90;Saves/90;Tgls/90;Tcon/90;Minutes;Mins/Gm;NP-xG/90;Goals per 90 minutes;xG/90;Con/90;xA/90;Cln/90;Appearances;Mins/Gl;OP-Crs C/90;OP-Crs A/90;OP-Cr %;Cr C/90;Crs A/90;Cr C/A;K Hdrs/90;Hdr %;Hdrs W/90;Hdrs;Hdrs L/90;Aer A/90;Hdrs A;Based In;Division;Nation;Club;Position;Age;Potential;Wage
Wnt;Karl-Heinz Gröger;D (L);€46M;114;2;1.0;0.3;2002227495;0;0;0;0;2.6;79;0.6;2.8;8.5;14.2;0.0;2.8;0.9;0.4;10%;20%;0.1;0;0.0;17.0;1.3;11.8;7.0;11.3;55.2;60.9;91%;1.0;3;0.1;0.1;0;0.9;1.6;3071;90.3235294117647;0.0;0.0;0.0;0.0;0.0;0.0;33 (2);3071;0.2;1.3;15;0.2;1.3;15;0.4;59;2.3;80;1.6;4.0;135;Germany;Bundesliga;GER;FC Schalke 04;D/WB (L);22;Unknown;€24K p/w
Wnt;Soumaïla Diabaté;D/WB (L);€5.75M;78;3;1.2;0.1;2002236656;0;0;0;0;2.3;79;0.5;2.3;7.8;8.7;0.1;2.5;1.1;0.5;0%;67%;0.1;0;0.0;14.4;0.6;11.2;7.6;14.2;50.9;57.3;89%;1.2;2;0.1;0.0;0;1.3;1.4;2378;82;0.0;0.0;0.0;0.0;0.1;0.0;29;0;0.3;2.2;12;0.3;2.2;12;0.2;42;1.2;31;1.6;2.8;74;Spain;First Division;MLI;Atlético Pamplona;D/WB (L);23;Unknown;€32K p/w
Inj;Aljaž Lah;ST (C);€9.75M;3;12;1.0;2.8;2002294492;0;0;0;0;0.1;67;0.0;0.3;1.5;1.1;0.0;0.8;0.0;0.1;18%;49%;1.3;0;0.0;6.4;0.7;10.7;0.9;18.8;25.4;28.3;90%;1.0;3;0.2;0.0;0;1.5;1.5;1274;47.1851851851852;0.4;0.5;0.4;0.0;0.1;0.0;11 (16);182;0.1;0.1;50;0.1;0.1;50;0.0;22;1.1;15;3.8;4.9;69;Italy;Serie A;SVN;Juventus;ST (C);22;Unknown;€91K p/w
Int;Vuyo Sekgobela;AM (R);€6.5M;52;16;2.1;1.6;2002085147;0;0;0;0;1.2;79;0.0;2.0;10.0;4.7;0.0;2.5;0.4;0.2;7%;38%;0.6;0;0.0;18.2;4.1;12.6;4.7;15.3;46.2;51.6;90%;2.1;5;0.1;0.1;0;1.0;1.3;3093;88.3714285714286;0.1;0.1;0.1;0.0;0.1;0.0;35;773.25;0.5;2.6;18;0.5;2.8;16;0.0;20;0.5;18;2.0;2.6;88;Portugal;Premier League;NZL;Casa Pia;WB/AM (R);25;Unknown;€6K p/w
Int;Mustafa Hekimoğlu;ST (C);€8.5M;7;10;1.6;2.4;2000237714;0;0;0;0;0.3;71;0.0;0.7;3.7;2.2;0.0;0.8;0.3;0.0;17%;45%;1.1;0;0.0;8.4;0.9;11.2;2.2;19.0;29.7;32.4;92%;1.6;2;0.1;0.2;0;1.2;1.4;1544;59.3846153846154;0.2;0.4;0.2;0.0;0.1;0.0;25 (1);220.571428571429;0.3;1.2;25;0.3;1.2;25;0.2;38;2.6;44;4.2;6.8;116;Germany;Bundesliga;TUR;FC Schalke 04;AM (RL), ST (C);27;Unknown;€68K p/w
;Gady Beyuku;D (R);€2.4M;53;4;1.7;0.4;2000381776;0;0;0;0;2.2;81;0.6;2.2;9.8;10.6;0.1;3.2;1.1;0.6;0%;14%;0.1;0;0.0;20.8;2.2;12.0;4.3;16.2;39.6;46.5;85%;1.7;5;0.3;0.1;0;1.1;1.3;1772;57.1612903225806;0.1;0.0;0.1;0.0;0.1;0.0;20 (11);0;1.5;6.9;21;1.5;6.9;21;0.6;75;3.4;66;1.1;4.5;88;Italy;Serie A;COD;Sassuolo;D (RC), WB/M (R);28;Unknown;€25.5K p/w
;José Carrillo;D (C);€10.25M;26;0;0.1;0.1;2002279829;0;0;0;0;0.5;77;0.8;0.8;2.7;12.6;0.1;2.9;1.0;0.8;0%;0%;0.0;0;0.0;3.6;0.0;9.9;1.7;3.8;44.4;48.3;92%;0.1;0;0.0;0.0;0;0.9;1.2;3613;88.1219512195122;0.0;0.0;0.0;0.0;0.0;0.0;40 (1);0;0.0;0.0;0;0.0;0.0;0;1.2;65;3.7;147;2.0;5.6;226;Portugal;Premier League;VEN;Gil Vicente;D (RC);22;Unknown;€9.5K p/w
;Iaia Manco Danfa;AM (L);€6M;30;5;1.9;3.0;2000497358;0;0;0;0;1.1;63;0.0;2.2;6.3;2.8;0.1;1.1;0.5;0.1;10%;38%;1.1;0;0.0;12.3;3.0;10.8;2.8;18.7;33.7;38.4;88%;1.9;2;0.1;0.4;0;1.4;1.3;1524;47.625;0.2;0.3;0.2;0.0;0.2;0.0;11 (21);304.8;0.4;2.2;19;0.4;2.2;18;0.0;40;1.8;31;2.8;4.6;78;Germany;Bundesliga;GNB;Borussia M'gladbach;AM (L), ST (C);27;Unknown;€20.5K p/w
Wnt;Amit Cohen;D (C);€3.2M;18;0;0.0;0.2;2002340106;0;0;0;1;0.5;72;0.8;0.8;2.3;11.0;0.2;2.9;0.8;0.6;0%;40%;0.1;0;0.0;4.4;0.0;10.3;1.7;3.8;43.9;47.4;93%;0.0;1;0.0;0.0;0;0.8;1.5;2389;82.3793103448276;0.0;0.0;0.0;0.0;0.0;0.0;29;0;0.0;0.0;0;0.0;0.0;0;0.6;69;2.5;66;1.1;3.6;95;Germany;Bundesliga;ISR;Holstein Kiel;D (C);21;Unknown;€17K p/w
;Jesús Fortea;D (R);€32M;28;4;2.0;0.3;2000293312;0;0;0;0;1.6;68;0.2;2.3;9.9;10.7;0.0;2.8;0.8;0.5;0%;0%;0.0;0;0.0;25.7;4.0;13.3;5.2;16.1;44.8;51.3;87%;2.0;1;0.1;0.0;0;1.3;1.0;1047;40.2692307692308;0.0;0.0;0.0;0.0;0.2;0.0;8 (18);0;1.5;9.0;17;1.5;9.0;17;0.2;20;0.5;6;2.1;2.6;30;Spain;First Division;ESP;Villarreal;D/WB (R);27;Unknown;€70K p/w
;Tidiam Gomis;AM (L);€7.25M;67;15;1.3;1.8;2000187477;0;0;0;0;1.6;78;0.0;2.4;9.9;4.0;0.0;2.3;0.8;0.5;5%;46%;0.8;0;0.0;13.9;3.5;11.8;3.5;18.7;41.4;47.1;88%;1.3;4;0.1;0.1;0;0.8;1.8;2909;76.5526315789474;0.2;0.1;0.2;0.0;0.1;0.0;38;969.666666666667;0.6;2.8;23;0.7;3.1;23;0.1;39;1.5;49;2.4;3.9;126;Italy;Serie A;FRA;Spezia;M/AM (RL), ST (C);27;Unknown;€72K p/w
;Jovan Milošević;ST (C);€7.5M;5;12;0.8;4.2;2000178782;0;0;0;0;0.3;80;0.0;0.5;1.5;2.2;0.0;1.0;0.2;0.1;14%;42%;1.8;0;0.0;7.2;0.5;10.5;1.3;18.3;28.9;32.1;90%;0.8;2;0.1;0.1;0;1.3;1.0;1415;52.4074074074074;0.4;0.6;0.4;0.0;0.1;0.0;13 (14);157.222222222222;0.0;0.3;0;0.0;0.3;0;0.2;42;3.1;49;4.4;7.5;118;Germany;Bundesliga;SRB;FC St. Pauli;ST (C);28;Unknown;€52K p/w
Int;Bendito Mantato;AM (R);€25.5M;52;10;2.1;2.9;2000392431;0;0;0;0;2.1;88;0.0;2.7;9.7;4.6;0.0;1.6;0.6;0.1;9%;46%;1.4;0;0.0;14.8;3.1;11.5;4.9;15.3;40.1;45.6;88%;2.1;2;0.1;0.0;0;1.2;1.5;1986;73.5555555555556;0.3;0.3;0.4;0.0;0.1;0.0;26 (1);331;0.6;3.1;20;0.6;3.1;20;0.0;35;1.1;24;2.0;3.1;68;Portugal;Premier League;ANG;Famalicão;D/WB (L), AM (R);26;Unknown;€23K p/w
Wnt;Lex Ottelé;AM (L), ST (C);€450K;17;4;1.0;1.5;2002230551;0;0;0;0;0.9;76;0.0;1.7;8.5;2.3;0.0;1.5;0.7;0.3;0%;13%;0.2;0;0.0;10.7;3.4;10.8;2.9;24.3;35.2;40.7;86%;1.0;1;0.1;0.1;0;0.3;1.4;1337;43.1290322580645;0.2;0.0;0.2;0.0;0.0;0.0;14 (17);0;0.3;2.5;11;0.3;2.5;10;0.0;29;1.1;16;2.7;3.8;56;Portugal;Premier League;LUX;Nacional da Madeira;M/AM (L), ST (C);23;Unknown;€4.6K p/w
;Jiří Mikuš;D (L);€3.1M;56;4;1.1;0.1;2002171047;0;0;0;0;2.1;73;0.9;2.8;6.9;8.8;0.0;2.5;0.8;0.2;0%;0%;0.0;0;0.0;17.9;0.7;12.4;6.9;18.6;48.8;53.9;91%;1.1;1;0.1;0.1;0;1.2;1.2;1788;71.52;0.0;0.0;0.0;0.0;0.0;0.0;21 (4);0;0.3;2.0;15;0.3;2.0;15;0.3;44;1.4;28;1.8;3.2;63;Germany;Bundesliga;CZE;Hertha BSC;D (L);22;Unknown;€18.5K p/w
Wnt;Merouane Kadri;AM (L);€8M;26;10;1.1;1.7;2002225988;0;0;0;0;0.7;77;0.0;1.5;7.3;2.5;0.0;2.1;0.4;0.2;7%;35%;0.6;0;0.0;12.2;2.9;11.0;2.7;21.3;35.0;39.1;89%;1.1;9;0.3;0.0;0;0.7;2.1;2436;76.125;0.2;0.1;0.2;0.0;0.1;0.0;27 (1);812;0.6;2.1;28;0.6;2.1;27;0.0;24;0.8;22;2.6;3.4;93;France;Ligue 1 McDonald's;ALG;FC Nantes;AM (RL), ST (C);22;Unknown;€14.25K p/w
Unh;Aris Bayındır;AM (C);€1M;0;0;0.3;0.4;2000194859;0;0;0;0;0.0;0;0.0;0.0;0.0;8.1;0.0;0.0;0.0;0.0;0%;27%;0.1;0;0.0;0.0;0.0;0.0;0.0;17.7;0.0;0.0;0%;0.1;8;0.3;0.1;0;0.7;1.8;2796;84.7272727272727;0.0;0.0;0.0;0.0;0.1;0.0;32 (1);0;0.0;0.0;0;0.0;0.3;11;0.0;0;0.0;0;0.0;0.0;0;Italy;Serie A;LUX;Spezia;D (RL), WB (L), DM, M/AM (C);27;Unknown;€31.5K p/w
Wnt;Yoan Pereira;AM (R);€8M;80;11;1.8;1.9;2000413282;0;0;0;0;1.5;71;0.0;2.5;9.3;4.7;0.0;1.9;0.5;0.1;6%;44%;0.9;0;0.0;14.6;3.5;11.8;3.5;20.4;38.0;43.7;87%;1.8;11;0.3;0.1;0;1.0;1.3;3336;75.8181818181818;0.2;0.1;0.2;0.0;0.1;0.0;44;834;0.4;2.6;14;0.4;2.6;14;0.1;10;0.4;13;3.1;3.5;128;Portugal;Premier League;LUX;Gil Vicente;D/WB (L), M/AM (RL);26;Unknown;€1.9K p/w
Wnt;Sami Bouhoudane;ST (C);€25.5M;3;8;0.7;4.1;2000387880;0;0;0;0;0.1;33;0.0;0.5;1.6;1.2;0.0;0.6;0.3;0.2;17%;57%;2.3;0;0.0;7.6;0.6;11.3;0.8;18.8;27.9;30.0;93%;0.7;4;0.4;0.0;0;1.6;0.9;1008;40.32;0.5;0.7;0.5;0.0;0.2;0.0;7 (18);126;0.2;0.4;50;0.2;0.4;50;0.0;38;2.4;27;4.0;6.4;72;England;Premier League;NED;Sunderland;ST (C);26;Unknown;€95K p/w
Wnt;Dânio Djassi;AM (L);€1M;48;8;2.8;2.0;2000328704;0;0;0;0;1.4;73;0.0;2.4;8.4;3.9;0.1;1.9;0.8;0.3;8%;35%;0.7;0;0.0;13.5;5.6;11.4;3.6;20.0;36.9;41.6;89%;1.8;6;0.2;0.0;0;0.8;1.5;2314;66.1142857142857;0.2;0.2;0.2;0.0;0.1;0.0;28 (7);578.5;0.4;1.8;23;0.4;1.8;23;0.0;28;0.8;21;2.1;2.9;74;Portugal;Premier League;GNB;Nacional da Madeira;M (L), AM (RL);27;Unknown;€4.1K p/w
Wnt;Luís Guilherme;AM (R);€22.5M;16;15;1.8;2.0;2000221458;0;0;0;0;0.6;100;0.0;1.3;6.6;11.3;0.0;1.9;0.3;0.2;7%;39%;0.8;0;0.0;11.4;2.9;12.1;2.6;14.7;40.9;44.6;92%;1.7;7;0.3;0.1;0;1.2;1.3;2487;75.3636363636364;0.2;0.1;0.2;0.0;0.1;0.0;37 (3);621.75;0.1;1.1;10;0.1;1.1;10;0.0;30;0.7;18;1.5;2.2;60;Germany;Bundesliga;BRA;1. FC Köln;AM (RC), ST (C);28;Unknown;€59K p/w
;Erykh Mikanovich;AM (L);€1.2M;54;12;1.8;1.4;2000375477;0;0;0;0;1.4;83;0.0;2.1;9.1;3.8;0.0;2.2;0.6;0.2;9%;30%;0.4;0;0.0;13.6;3.7;11.7;3.6;22.1;37.5;42.8;88%;1.8;3;0.1;0.1;0;0.8;1.7;2936;83.8857142857143;0.1;0.1;0.1;0.0;0.1;0.0;37 (1);734;1.1;4.1;28;1.1;4.1;27;0.1;50;2.0;66;2.0;4.0;132;Germany;Bundesliga;BLR;SpVgg Greuther Fürth;D/WB/M/AM (L);26;Unknown;€9.75K p/w
Wnt;Iñaki Olaizola;D (C);€9.5M;12;0;0.4;0.4;2002150421;0;0;0;0;0.3;75;0.9;0.6;2.4;16.5;0.0;3.4;0.3;0.8;0%;23%;0.1;0;0.0;3.8;0.0;9.8;2.4;2.8;42.8;46.7;92%;0.1;0;0.0;0.0;0;0.7;1.7;2930;81.3888888888889;0.0;0.0;0.0;0.0;0.0;0.0;11 (16);0;0.0;0.0;100;0.0;0.0;100;1.1;65;3.7;121;2.0;5.7;186;Germany;Bundesliga;ESP;SpVgg Greuther Fürth;D (C), DM, M (C);24;Unknown;€21.5K p/w
Wnt;Idrissa Candé;D (RL), WB (L);€4.8M;45;0;1.3;0.2;2000318397;0;0;0;0;1.7;80;0.6;1.9;7.8;10.8;0.1;3.5;1.3;0.6;0%;0%;0.0;0;0.0;15.8;0.6;11.4;7.5;18.8;49.9;55.9;89%;1.3;3;0.1;0.0;0;0.9;1.1;1897;54.2;0.0;0.0;0.0;0.0;0.1;0.0;17 (18);0;0.7;1.8;41;0.7;1.8;40;0.4;49;1.7;35;1.7;3.4;71;Portugal;Premier League;GNB;Gil Vicente;D (RL), WB (L);23;Unknown;€2.7K p/w
Wnt;Bade Aluko;D (R);€8.75M;70;2;0.7;0.2;2000261216;0;0;0;0;1.8;83;0.3;1.5;7.7;10.9;0.1;4.0;1.2;0.6;0%;14%;0.0;0;0.0;16.2;0.4;11.6;7.2;15.3;54.7;60.3;91%;0.7;5;0.2;0.1;0;1.4;1.5;2895;87.7272727272727;0.1;0.0;0.1;0.0;0.1;0.0;33 (2);0;0.1;0.5;19;0.1;0.5;18;0.3;59;2.2;72;1.6;3.8;123;Germany;Bundesliga;ENG;VfL Wolfsburg;D (RLC), WB (RL);27;Unknown;€51K p/w
;Lassana Gomes;DM;€7.5M;34;0;1.0;0.5;2002294006;0;0;0;0;0.9;68;0.4;1.4;5.5;14.9;0.2;3.0;0.8;0.7;8%;17%;0.1;0;0.0;9.5;0.0;11.2;3.9;6.1;45.7;50.6;90%;0.8;8;0.3;0.1;0;0.8;1.5;2252;72.6451612903226;0.1;0.0;0.1;0.0;0.1;0.0;12 (19);2252;0.1;0.1;67;0.1;0.1;66;0.6;60;1.8;44;1.2;2.9;73;Portugal;Premier League;GNB;AVS SAD;D (C), DM;21;Unknown;€9.5K p/w
;Leonardo Tavares;D/WB (L);€14.5M;60;2;1.0;0.2;2000484186;0;0;0;2;2.3;85;0.5;2.1;7.1;11.8;0.2;3.1;1.1;0.8;0%;0%;0.0;0;0.0;15.9;1.0;11.3;7.9;16.1;54.7;62.6;87%;1.0;2;0.1;0.0;0;1.5;1.5;2033;75.2962962962963;0.0;0.0;0.0;0.0;0.1;0.0;25 (2);0;0.1;0.9;10;0.1;0.9;10;0.2;49;1.2;27;1.2;2.4;55;Germany;Bundesliga;POR;VfL Wolfsburg;D/WB (L);24;Unknown;€35.5K p/w
nEU;Renato Nhaga;M (C);€2.2M;0;0;0.1;1.3;2000384911;0;0;0;0;0.0;0;0.0;0.0;0.0;9.6;0.0;0.0;0.0;0.0;8%;31%;0.4;0;0.0;0.0;0.0;0.0;0.0;15.7;0.0;0.0;0%;0.1;7;0.2;0.1;0;0.7;1.5;2604;78.9090909090909;0.2;0.1;0.2;0.0;0.1;0.0;32 (1);868;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;Italy;Serie A;GNB;Palermo;DM, M (C);27;Unknown;€17.5K p/w
;Ousseynou Diompy;D (C);€600K;17;0;0.1;0.2;2002092320;0;0;0;0;0.6;71;0.9;0.9;2.3;10.3;0.0;2.1;1.6;0.6;0%;60%;0.1;0;0.0;2.8;0.0;9.4;2.4;4.8;34.3;38.9;88%;0.1;1;0.0;0.0;0;0.5;1.8;1851;74.04;0.1;0.0;0.1;0.0;0.0;0.0;20 (5);0;0.0;0.0;0;0.0;0.0;0;1.0;70;3.5;73;1.5;5.1;104;France;Ligue 1 McDonald's;SEN;FC Annecy;D (C);24;Unknown;€5.75K p/w
Int;Elias Vali Fard;D (C);€4.2M;15;1;0.1;0.2;2000331102;0;0;0;0;0.4;93;0.7;0.7;2.8;15.1;0.0;3.0;1.2;0.6;0%;0%;0.0;0;0.0;3.4;0.0;9.9;1.5;3.0;38.3;40.7;94%;0.1;2;0.1;0.1;0;1.0;1.2;2960;84.5714285714286;0.0;0.0;0.0;0.0;0.0;0.0;35;0;0.0;0.0;0;0.0;0.0;0;1.2;80;4.2;139;1.1;5.3;174;Germany;Bundesliga;IRN;Borussia M'gladbach;D (C);26;Unknown;€30.5K p/w
Wnt;Boubacar Sidibé;AM (R);€20M;57;9;1.3;2.0;29174605;0;0;0;0;1.4;79;0.0;2.4;10.3;4.5;0.0;2.5;0.5;0.3;13%;25%;0.5;0;0.0;16.0;4.5;11.8;3.3;18.7;40.4;46.3;87%;1.3;11;0.3;0.0;0;1.1;1.2;2870;79.7222222222222;0.2;0.3;0.2;0.0;0.2;0.0;7 (20);358.75;0.6;3.2;18;0.6;3.2;18;0.0;34;0.8;25;1.5;2.3;73;Germany;Bundesliga;FRA;1. FC Union Berlin;M/AM (R), ST (C);23;Unknown;€49K p/w
Int;Peter Singh;ST (C);€53M;3;21;0.6;2.9;2002088268;0;0;0;0;0.0;33;0.0;0.1;0.8;1.8;0.0;0.7;0.3;0.1;5%;36%;1.0;0;0.0;4.9;1.1;9.0;0.6;20.9;21.8;24.6;89%;0.6;4;0.1;0.1;0;0.8;2.2;2404;68.6857142857143;0.3;0.1;0.3;0.0;0.0;0.0;14 (12);601;0.0;0.0;0;0.0;0.0;0;0.0;26;1.3;34;3.6;4.9;130;England;Premier League;NZL;West Brom;M/AM (C), ST (C);24;Unknown;€105K p/w
;Jeff Ekhator;ST (C);€15.75M;7;23;1.1;3.3;2000222926;0;0;0;0;0.2;71;0.0;0.5;1.7;2.1;0.0;0.7;0.1;0.1;18%;49%;1.6;0;0.0;6.1;0.7;10.6;0.9;19.9;24.8;27.9;89%;1.1;2;0.1;0.0;0;1.3;1.1;2475;70.7142857142857;0.4;0.6;0.4;0.0;0.0;0.0;30 (5);145.588235294118;0.1;0.4;27;0.1;0.4;27;0.1;31;2.3;62;5.1;7.3;202;Portugal;Premier League;ITA;BRG;AM (L), ST (C);27;Unknown;€36K p/w
Wnt;Valter Monteiro;AM (RC);€575K;15;3;2.0;1.3;2000256727;0;0;0;0;1.1;87;0.0;1.9;8.2;3.4;0.1;1.5;0.4;0.3;0%;27%;0.4;0;0.0;13.1;4.6;10.0;3.5;17.8;31.7;37.1;85%;2.0;3;0.3;0.1;0;0.7;1.0;1020;39.2307692307692;0.2;0.0;0.2;0.0;0.2;0.0;6 (20);0;0.7;2.6;27;0.8;3.4;23;0.0;21;0.5;6;2.0;2.6;29;Portugal;Premier League;ANG;Mafra;M (C), AM (RC);28;Unknown;€5K p/w
Int;Tino Kusanović;ST (C);€13M;5;23;0.8;2.6;2000332836;0;0;0;0;0.1;60;0.0;0.5;1.1;1.9;0.0;0.8;0.2;0.1;13%;45%;1.2;0;0.0;5.4;0.6;10.2;0.7;20.4;23.7;27.2;87%;0.8;4;0.1;0.0;0;1.2;1.2;3246;87.7297297297297;0.2;0.3;0.2;0.0;0.1;0.0;21 (2);270.5;0.2;0.4;50;0.2;0.4;50;0.2;28;1.7;62;4.4;6.2;222;Italy;Serie A;CRO;Parma;AM (RL), ST (C);26;Unknown;€55K p/w
;Soufian Edrissi;AM (C);€25M;19;3;1.8;1.8;2002346367;0;0;0;0;0.6;74;0.0;1.5;5.6;10.9;0.0;1.7;0.2;0.1;13%;45%;0.8;0;0.0;12.8;1.5;12.4;3.1;16.4;40.6;46.2;88%;1.8;6;0.3;0.0;0;1.3;1.1;2011;77.3461538461538;0.2;0.2;0.2;0.0;0.1;0.0;25 (1);402.2;0.3;1.1;25;0.3;1.1;25;0.1;23;0.6;14;2.1;2.7;60;Spain;First Division;MAR;Valencia;M (C), AM (RC);21;Unknown;€15.25K p/w
Wnt;Abdul Moro;DM;€1.5M;49;3;0.8;0.5;2000397353;0;0;0;0;1.4;86;0.3;1.6;7.5;10.7;0.0;3.0;0.7;0.4;0%;40%;0.2;0;0.0;11.5;0.2;11.2;5.8;7.1;46.6;52.0;90%;0.8;10;0.3;0.1;0;0.8;2.1;2615;84.3548387096774;0.0;0.0;0.0;0.0;0.2;0.0;31;0;0.1;0.1;67;0.1;0.1;66;0.4;65;1.7;49;0.9;2.6;75;France;Ligue 1 McDonald's;GHA;FC Nantes;DM, M (C);28;Unknown;€34.5K p/w
;Elias Pihlström;AM (L);€26M;101;12;2.2;2.3;2000335464;0;0;0;0;1.5;59;0.0;2.7;10.2;5.7;0.0;2.3;0.5;0.3;12%;32%;0.7;0;0.0;15.6;3.2;11.8;4.2;17.9;41.5;46.2;90%;2.2;14;0.3;0.1;0;1.5;1.1;3645;74.3877551020408;0.3;0.3;0.3;0.0;0.2;0.0;49;331.363636363636;0.7;3.0;25;0.9;3.4;25;0.1;32;1.0;42;2.2;3.3;132;Portugal;Premier League;SWE;BRG;M/AM (RL);27;Unknown;€55K p/w
;Mert Özer;D/WB (L);€5.25M;94;3;1.1;0.1;2002090153;0;0;0;0;2.4;89;1.0;2.1;8.2;11.9;0.1;3.2;0.9;0.4;0%;0%;0.0;0;0.0;16.2;0.7;11.1;6.7;15.4;55.6;60.3;92%;1.1;1;0.0;0.1;0;1.1;1.2;3134;89.5428571428571;0.0;0.0;0.0;0.0;0.0;0.0;35;0;0.3;1.2;24;0.3;1.2;23;0.2;47;1.0;36;1.2;2.2;77;Germany;Bundesliga;TUR;Borussia M'gladbach;D (RL), WB (L);24;Unknown;€30.5K p/w
;Andreas Papadatos;M (L);€4.5M;82;1;1.0;0.1;2002230410;0;0;0;0;2.5;89;0.0;2.1;7.3;10.8;0.1;3.5;0.9;0.5;0%;50%;0.0;0;0.0;15.6;0.4;11.3;8.2;14.5;55.4;60.3;92%;1.0;4;0.1;0.1;0;1.5;1.2;2638;77.5882352941177;0.0;0.0;0.0;0.0;0.1;0.0;30 (4);0;0.2;1.5;16;0.2;1.5;15;0.3;39;1.0;28;1.5;2.5;72;Germany;Bundesliga;GRE;1. FSV Mainz 05;D/M/AM (L);22;Unknown;€17K p/w
;Filip Thorvaldsen;AM (L);€8.75M;48;8;1.9;1.9;2000257869;0;0;0;0;1.5;63;0.0;2.6;8.1;3.3;0.1;2.4;0.6;0.2;8%;38%;0.7;0;0.0;13.8;3.0;12.4;3.9;22.0;39.1;44.5;88%;1.9;7;0.4;0.2;0;1.3;1.4;1757;70.28;0.3;0.2;0.3;0.0;0.1;0.0;22 (3);585.666666666667;0.7;2.7;25;0.7;2.7;24;0.0;22;0.7;13;2.3;3.0;58;Italy;Serie A;NOR;Como;AM (RL), ST (C);28;Unknown;€54K p/w
;Destiny Elimoghale;AM (L);€7.75M;17;2;1.7;3.1;2000487699;0;0;0;0;1.4;94;0.0;1.6;10.3;3.1;0.0;1.7;0.3;0.0;9%;49%;1.5;0;0.0;15.5;3.7;12.0;4.0;15.7;40.7;46.4;88%;1.7;0;0.0;0.1;0;1.6;1.0;1000;30.3030303030303;0.3;0.3;0.3;0.0;0.2;0.0;5 (28);333.333333333333;0.7;2.7;27;0.7;2.7;26;0.0;13;0.4;4;2.3;2.7;30;Germany;Bundesliga;ITA;TSG Hoffenheim;AM (L), ST (C);25;Unknown;€29.5K p/w
;Benjamin;M (C), AM (L);€5.25M;34;4;1.3;1.2;2000484237;0;0;0;0;1.7;76;0.0;2.0;8.2;4.6;0.1;1.9;0.7;0.1;0%;11%;0.1;0;0.0;12.0;3.4;9.7;2.6;15.6;33.8;38.3;88%;1.3;4;0.3;0.2;0;0.9;1.1;1409;36.1282051282051;0.1;0.0;0.1;0.0;0.1;0.0;7 (32);0;0.4;1.6;24;0.4;1.6;24;0.0;36;1.0;16;1.9;2.9;45;France;Ligue 1 McDonald's;BRA;Reims;M (C), AM (L);24;Unknown;€13.25K p/w
Int;Marlon Chio;M/AM (R);€8.25M;17;3;1.9;1.5;2002092345;0;0;0;0;0.9;76;0.0;1.9;10.4;3.0;0.0;2.2;0.3;0.2;10%;40%;0.6;0;0.0;17.2;5.1;12.0;2.8;20.2;36.9;41.9;88%;1.9;1;0.1;0.0;0;1.4;0.7;1237;51.5416666666667;0.2;0.1;0.2;0.0;0.1;0.0;13 (11);618.5;0.4;2.5;15;0.4;2.5;14;0.1;11;0.3;4;2.3;2.6;36;Portugal;Premier League;ANG;Gil Vicente;M (R), AM (RLC);23;Unknown;€6.75K p/w
;Caelan As-Chainey;D (R);€20.5M;26;1;1.2;0.3;2002227048;0;0;0;0;1.7;85;0.4;1.4;6.3;9.7;0.2;2.8;1.2;0.8;0%;0%;0.0;0;0.0;16.0;1.2;11.4;6.7;20.4;47.8;53.9;89%;1.2;0;0.0;0.0;0;0.9;1.4;1193;59.65;0.0;0.0;0.0;0.0;0.1;0.0;13 (7);0;0.6;1.5;40;0.6;1.5;40;0.1;34;0.8;11;1.6;2.4;32;England;Premier League;SCO;Southampton;D/WB (R);22;Unknown;€17.75K p/w
;Gabriel Maceda;DM, M (C);€5M;8;0;0.4;0.4;2002144162;0;0;0;0;0.3;50;0.0;0.5;1.7;9.3;0.1;0.8;0.1;0.1;17%;50%;0.2;0;0.0;3.1;0.0;3.6;1.7;15.1;14.2;14.7;96%;0.4;5;0.3;0.1;0;1.3;1.9;1345;58.4782608695652;0.0;0.1;0.0;0.0;0.1;0.0;13 (10);1345;0.0;0.0;0;0.0;0.0;0;0.0;20;0.1;2;0.5;0.7;10;Portugal;Premier League;PER;Famalicão;DM, M (C);22;Unknown;€10K p/w
Bid;Abdoulie Manneh;AM (L);€27.5M;48;18;1.6;2.1;2000195393;0;0;0;0;1.2;73;0.0;2.1;9.7;5.0;0.0;2.1;0.4;0.2;13%;45%;0.9;0;0.0;15.5;2.7;11.9;3.7;15.3;40.5;45.4;89%;1.6;6;0.2;0.1;0;1.2;1.6;2632;84.9032258064516;0.2;0.3;0.2;0.0;0.1;0.0;31;329;0.6;2.6;22;0.6;2.6;22;0.1;33;1.2;34;2.3;3.5;102;Portugal;Premier League;GAM;Famalicão;AM (RLC), ST (C);28;Unknown;€29.5K p/w
